name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
PCLH Hospital e Maternidade Madalena Nunes,COLLECTION_POINT,Rua Assembléia de Deus,,Centro,Tianguá,CE,62320-029,88-3671-2100,,,
PCLH Hospital e Maternidade Nossa Senhora das Graças (Cascavel),COLLECTION_POINT,Rua Bia Coelho,2205,Centro,Cascavel,CE,62850-000,85-3334-1475,,,
PCLH Hospital São Lucas,COLLECTION_POINT,Rua Ubaldino Souto Maior,1052,Centro,Crateús,CE,63700-200,88-3691-2019,,,
PCLH Santa Casa de Misericórdia de Sobral,COLLECTION_POINT,Rua Antônio Crisóstomo de Melo,919,Centro,Sobral,CE,62010-550,88-3112-0400,,,
Posto de Saúde Pio 12 - Geraldo Madeira Sobrinho,COLLECTION_POINT,Rua Belisário Távora,42,São João do Tauape,Fortaleza,CE,60130-830,,,,
Posto de Coleta de Leite Humano de Jardim,COLLECTION_POINT,Rua Maria Balbino da Conceição,,Morro de Tetéu,Jardim,CE,63290-000,,,,
Posto de Coleta de Leite Humano do Hospital Municipal Dr. Amadeu Sá,COLLECTION_POINT,Rua Carmelita Rebouças,508,Tamatanduba,Eusébio,CE,61760-000,85-3260-1327,,,
Posto de Coleta de Leite Humano do Hospital Regional do Sertão Central,COLLECTION_POINT,Rodovia CE 060 KM 198 - Estrada do Algodão,,Quixeramobim,Quixeramobim,CE,63800-000,88-3406-1300,,,
Posto de Coleta de Leite Humano do Hospital Regional Unimed - Fortaleza,COLLECTION_POINT,Rua Visconde do Rio Branco,4000,São João do Tauape,Fortaleza,CE,60055-172,85-3277-7735,,,
Posto de Coleta do Hospital Gênesis,COLLECTION_POINT,Av. Santos Dumont,1168,Aldeota,Fortaleza,CE,60150-160,85-4011-0100,,,
Posto de Saúde Dr. Francisco Monteiro Chico Passeata,COLLECTION_POINT,Avenida dos Eucaliptos,S/N,Dendê,Fortaleza,CE,60810-670,,,,
Posto de Saúde Dr. João Barbosa Pires de Paula Pessoa,COLLECTION_POINT,Rua Rubi,,Siqueira,Fortaleza,CE,60732-495,85-3498-4745,,,
Posto de Saúde Gothardo Peixote Figueiredo Lima - Secretaria Municipal de Saúde,COLLECTION_POINT,Rua Irmã Bazet,153,Damas,Fortaleza,CE,60410-222,85-3433-5084,,,
Posto de Saúde Casemiro Lima Filho,COLLECTION_POINT,Av. Francisco Sá,6449,Fortaleza,Fortaleza,CE,60346-164,,,,
Posto de Saúde César Cals de Oliveira,COLLECTION_POINT,Rua Capitão Aragão,555,Aerolândia,Fortaleza,CE,60851-150,,,,
Posto de Saúde Dom Aloísio Lorscheider,COLLECTION_POINT,Rua Betel,1895,Itaperi,Fortaleza,CE,60714-315,85-3131-1945,,,
Posto de Saúde Jurandir Picanço,COLLECTION_POINT,Rua Duas Nações,,Granja Portugal,Fortaleza,CE,60545-241,85-3452-2480,,,
Posto de Saúde Luis Franklin Pereira,COLLECTION_POINT,Rua Alexandre Vieira,,Coaçu,Fortaleza,CE,60871-750,85-3433-5969,,,
Posto de Saúde Otoni Cardoso do Vale,COLLECTION_POINT,Rua José Teixeira Costa,643,São Bento,Fortaleza,CE,60810-670,85-3274-8591,,,
Sistema de S. V. M. Naseau - Hospital e Maternidade Santa Luiza de Marilac,COLLECTION_POINT,Rua Cônego João Paulo,1026,Aracati,Aracati,CE,62800-000,88-3421-1007,,,
Sociedade Beneficente São Camilo - Hospital Cura D'Ars,COLLECTION_POINT,Rua Costa Barros,833,Centro,Fortaleza,CE,60160-280,85-3464-7037,,,
Sociedade de Assistência e Proteção à Infância de Fortaleza - SOPAI,COLLECTION_POINT,Avenida Francisco Sá,5036,Carlito Pamplona,Fortaleza,CE,60310-002,85-4005-0707,,,
UAPS Virgílio Távora - Secretaria de Saúde de Fortaleza,COLLECTION_POINT,Avenida Monsenhor Hélio Campos,S/N,Cristo Redentor,Fortaleza,CE,60336-830,85-3286-2219,,,
UAPS Waldemar Alcântara,COLLECTION_POINT,Rua Silveira Filho,903,Jóquei Clube,Fortaleza,CE,60520-050,85-3488-2646,,,
UBS Dr. Roberto da Silva Bruno,COLLECTION_POINT,Avenida Borges de Melo,990,Fátima,Fortaleza,CE,60415-762,,,,
Banco de Leite Humano da Maternidade Escola Assis Chateaubriand,MILK_BANK,Rua Papi Júnior,S/N,Rodolfo Teófilo,Fortaleza,CE,60430-235,85-3366-8509,,,
Banco de Leite Humano de Juazeiro do Norte,MILK_BANK,Rua São Benedito,243,São Miguel,Juazeiro do Norte,CE,63020-080,88-2131-2022,,,
Banco de Leite Humano do Hospital Infantil Albert Sabin,MILK_BANK,Rua Tertuliano Sales,544,Vila União,Fortaleza,CE,60410-790,85-3101-4189,,,
Banco de Leite Humano do Hospital e Maternidade Jesus Maria José,MILK_BANK,Av. Francisco Almeida Pinheiro,2268,Planalto Universitário,Quixadá,CE,63902-125,88-3412-0681,,,
Banco de Leite Humano do Hospital Geral de Fortaleza,MILK_BANK,Rua Ávila Goulart,900,Papicu,Fortaleza,CE,60150-160,85-3101-3335,,,
Banco de Leite Humano do Hospital Maternidade São Vicente de Paulo,MILK_BANK,Avenida Coronel João Coelho,299,Centro,Barbalha,CE,63180-000,88-3532-7100,,,
Banco de Leite Humano do Hospital Municipal Dr. João Elísio de Holanda,MILK_BANK,Rua João de Alencar,S/N,Centro,Maracanaú,CE,61900-000,85-3521-5545,,,
Banco de Leite Humano do Hospital Regional Norte,MILK_BANK,Avenida John Sanford,1505,Dr. José Euclides Ferreira,Sobral,CE,62030-340,88-3677-9467,,,
Banco de Leite Humano do Hospital Geral Dr. César Cals,MILK_BANK,Av. Imperador,545,Centro,Fortaleza,CE,60015-052,85-3125-9738,,,
